[ 2025-12-18 22:53:44 | node_7 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.5913234949111938, 'test_acc\n': 0.8571428656578064, 'test_precision\n': 0.45172953605651855, 'test_recall\n': 0.40941694378852844, 'test_f1\n': 0.41590574383735657}
[ 2025-12-18 22:53:44 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node_7 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:44 | node_6 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 1.073644995689392, 'test_acc\n': 0.7511811256408691, 'test_precision\n': 0.3363017737865448, 'test_recall\n': 0.3128430247306824, 'test_f1\n': 0.3150201141834259}
[ 2025-12-18 22:53:44 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node_6 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:44 | node_1 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.4640159606933594, 'test_acc\n': 0.9060402512550354, 'test_precision\n': 0.34447166323661804, 'test_recall\n': 0.3101539611816406, 'test_f1\n': 0.32337599992752075}
[ 2025-12-18 22:53:44 | node_1 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node_1 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:44 | node_4 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.32475391030311584, 'test_acc\n': 0.8990120887756348, 'test_precision\n': 0.3416283130645752, 'test_recall\n': 0.2925175130367279, 'test_f1\n': 0.30901482701301575}
[ 2025-12-18 22:53:44 | node_4 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:44 | node | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.5982154011726379, 'test_acc\n': 0.9009901285171509, 'test_precision\n': 0.4486091434955597, 'test_recall\n': 0.39636945724487305, 'test_f1\n': 0.40972065925598145}
[ 2025-12-18 22:53:44 | node | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:45 | node_4 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:45 | node | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:45 | node_13 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:45 | node_13 | INFO ] 🧩 Model added (1/5) from ['node_13']
[ 2025-12-18 22:53:45 | node_5 | INFO ] 📈 Evaluated. Results: {'\ntest_loss': 0.7342286109924316, 'test_acc\n': 0.8105726838111877, 'test_precision\n': 0.3927187919616699, 'test_recall\n': 0.33736100792884827, 'test_f1\n': 0.3564162254333496}
[ 2025-12-18 22:53:45 | node_5 | INFO ] 📢 Broadcasting metrics.
[ 2025-12-18 22:53:45 | node_5 | INFO ] 🏋️‍♀️ Training...
[ 2025-12-18 22:53:45 | node_2 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:45 | node_2 | INFO ] 🧩 Model added (1/5) from ['node_2']
[ 2025-12-18 22:53:45 | node_11 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:45 | node_11 | INFO ] 🧩 Model added (1/5) from ['node_11']
[ 2025-12-18 22:53:46 | node_7 | INFO ] 🎓 Training done.
[ 2025-12-18 22:53:46 | node_7 | INFO ] 🧩 Model added (1/5) from ['node_7']
