[ 2026-05-13 19:22:57 | node_36 | INFO ] 🧩 Model added for round 46 (1/10) from ['node_12']
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🧩 Model added for round 46 (2/10) from ['node_9']
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🧩 Model added for round 46 (3/10) from ['node_39']
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🧩 Model added for round 46 (4/10) from ['node_21']
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🧩 Model added for round 46 (5/10) from ['node_14']
[ 2026-05-13 19:22:57 | node_36 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:22:58 | node_49 | INFO ] 🧩 Model added for round 46 (4/6) from ['node_32']
[ 2026-05-13 19:22:58 | node_28 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_25']
[ 2026-05-13 19:22:58 | node_36 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:22:58 | node_35 | INFO ] 🧩 Model added for round 46 (4/8) from ['node_29']
[ 2026-05-13 19:22:58 | node_36 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:22:58 | node_36 | INFO ] ✅ [FORCE] Local model added for round 46. (6/10)
[ 2026-05-13 19:23:00 | node_36 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_25']
[ 2026-05-13 19:23:00 | node_43 | INFO ] 🧩 Model added for round 46 (3/4) from ['node_29']
[ 2026-05-13 19:23:00 | node_13 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:23:00 | node_13 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🎉 Round 46 of 50 finished.
[ 2026-05-13 19:23:01 | node_13 | INFO ] ♻️ Proactively processing 6 early models for round 46.
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🧩 Model added for round 46 (1/12) from ['node_9']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🧩 Model added for round 46 (2/12) from ['node_5']
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🧩 Model added for round 46 (3/12) from ['node_35']
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🧩 Model added for round 46 (4/12) from ['node_26']
[ 2026-05-13 19:23:01 | node_15 | INFO ] ♻️ Proactively processing 7 early models for round 46.
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🧩 Model added for round 46 (5/12) from ['node_31']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (1/10) from ['node_43']
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🧩 Model added for round 46 (6/12) from ['node_11']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (2/10) from ['node_49']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (3/10) from ['node_23']
[ 2026-05-13 19:23:01 | node_13 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (4/10) from ['node_28']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (5/10) from ['node_21']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (6/10) from ['node_41']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🧩 Model added for round 46 (7/10) from ['node_8']
[ 2026-05-13 19:23:01 | node_15 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 19:23:02 | node_13 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:23:02 | node_13 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:23:02 | node_13 | INFO ] ✅ [FORCE] Local model added for round 46. (7/12)
[ 2026-05-13 19:23:02 | node_15 | INFO ] 🎓 Training step done.
[ 2026-05-13 19:23:02 | node_15 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 19:23:02 | node_15 | INFO ] ✅ [FORCE] Local model added for round 46. (8/10)
[ 2026-05-13 19:23:02 | node | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:23:02 | node | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:23:02 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.1977730244398117, 'test_acc': 0.9700000286102295, 'test_precision': 0.9683837294578552, 'test_recall': 0.9702560901641846, 'test_f1': 0.9687190055847168, 'communication_cost': 37633960}
[ 2026-05-13 19:23:03 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-05-13 19:23:03 | node_33 | INFO ] ⏹️  Gossiping exited for 50 equal rounds.
[ 2026-05-13 19:23:03 | node_36 | INFO ] 📤 Sending model to 9 direct neighbors: ['node_9', 'node_12', 'node_14', 'node_21', 'node_25', 'node_27', 'node_38', 'node_39', 'node_47']
[ 2026-05-13 19:23:03 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-05-13 19:23:03 | node_9 | INFO ] 🧩 Model added for round 46 (2/7) from ['node_36']
[ 2026-05-13 19:23:03 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.20177064836025238, 'test_acc': 0.9549999833106995, 'test_precision': 0.9540751576423645, 'test_recall': 0.9563453793525696, 'test_f1': 0.9528258442878723, 'communication_cost': 37633960}
[ 2026-05-13 19:23:03 | node_33 | INFO ] 📢 Broadcasting metrics.
