[ 2026-05-13 06:02:45 | node_9 | INFO ] 🧩 Model added for round 46 (12/12) from ['node_22']
[ 2026-05-13 06:02:45 | node_41 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_1', 'node_2', 'node_28', 'node_32', 'node_47']
[ 2026-05-13 06:02:45 | node_42 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:45 | node_4 | INFO ] 🧩 Model added for round 46 (10/10) from ['node_9']
[ 2026-05-13 06:02:45 | node_42 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:45 | node_42 | INFO ] ✅ [FORCE] Local model added for round 47. (1/7)
[ 2026-05-13 06:02:45 | node_48 | INFO ] 📤 Sending model to 5 direct neighbors: ['node_14', 'node_21', 'node_26', 'node_34', 'node_40']
[ 2026-05-13 06:02:46 | node_2 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:02:46 | node_4 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:02:46 | node_33 | INFO ] 🎉 Round 47 of 50 finished.
[ 2026-05-13 06:02:46 | node_33 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-05-13 06:02:46 | node_33 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-13 06:02:47 | node_10 | INFO ] 🧩 Model added for round 46 (9/9) from ['node_22']
[ 2026-05-13 06:02:47 | node_5 | INFO ] 🧩 Model added for round 46 (12/12) from ['node_9']
[ 2026-05-13 06:02:47 | node_33 | INFO ] 🎓 Training step done.
[ 2026-05-13 06:02:47 | node_33 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-13 06:02:47 | node_33 | INFO ] ✅ [FORCE] Local model added for round 47. (1/7)
[ 2026-05-13 06:02:47 | node_4 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:02:47 | node_2 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:02:48 | node_10 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:02:48 | node_5 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-13 06:02:49 | node_10 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:02:49 | node_5 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-13 06:02:49 | node_6 | INFO ] 🧩 Model added for round 46 (9/9) from ['node_9']
[ 2026-05-13 06:02:49 | node_11 | INFO ] 🧩 Model added for round 46 (10/10) from ['node_22']
[ 2026-05-13 06:02:50 | node_18 | INFO ] ⏳ Dynamic Patience (iteration 1): Missing nodes still active. Waiting 150s more...
